Company1,Company2,Value
1,1,1.0
1,2,0.5630421562094933
1,3,0.5256702205529874
1,4,-0.4648769545144706
1,5,0.5847914655723253
1,6,-0.5830286659024899
1,7,0.4558568521884497
1,8,0.20177176655765847
1,9,0.24740155845035128
1,10,-0.0405981365113308
1,11,-0.02919153195402288
1,12,-0.28989757220504425
1,13,-0.006996712053324341
1,14,0.22914421657924436
1,15,-0.024538924987431574
1,16,0.49516513210603375
1,17,0.03676283452754965
1,18,0.008964036524662053
1,19,-0.030190504267474102
1,20,-0.18906660528936628
1,21,0.36688043076786325
1,22,-0.396978799727878
1,23,-0.32943803586453146
1,24,0.27840206792794003
1,25,0.4586927939603387
1,26,0.34447341377895024
1,27,0.45323201715304007
1,28,-0.5610267406109708
1,29,0.26469986122304384
1,30,-0.40546005400374424
2,1,0.5630421562094933
2,2,1.0
2,3,0.4626205631119208
2,4,-0.6191232955573615
2,5,0.6055024840288497
2,6,-0.5878791679173236
2,7,0.7254854667380524
2,8,0.33867716315142293
2,9,-0.3047094097918511
2,10,-0.5240831570978655
2,11,0.047372138577835635
2,12,-0.3080486152675137
2,13,0.08618459631619933
2,14,0.567489927381832
2,15,0.057997815825666314
2,16,0.7068009803188193
2,17,0.07993159025771725
2,18,0.11595867467602518
2,19,0.04913057070549816
2,20,-0.18430582810480722
2,21,0.17204954218346835
2,22,-0.471148950032203
2,23,-0.27606907713486306
2,24,0.176486651571521
2,25,-0.09239088446546216
2,26,0.49292722066264094
2,27,0.5845526829735114
2,28,-0.6891140201302901
2,29,0.3335371035229742
2,30,-0.4599618335873481
3,1,0.5256702205529874
3,2,0.46262056311192085
3,3,1.0
3,4,-0.6029130042509887
3,5,0.8547551441539827
3,6,-0.6444047559502386
3,7,0.5923107949310685
3,8,0.42885560993245847
3,9,-0.16220401131456516
3,10,-0.43886802376633743
3,11,-0.1686203373263312
3,12,-0.19587951423586428
3,13,-0.14017085532961254
3,14,0.5999167896278113
3,15,-0.16193186839065568
3,16,0.6615169373824413
3,17,-0.1039142220244948
3,18,-0.14581207356065853
3,19,-0.17490944553503257
3,20,-0.20813307849703389
3,21,0.415632824698045
3,22,-0.16749455507082428
3,23,-0.14564380312039332
3,24,0.6389334273366944
3,25,-0.09576909657944437
3,26,0.5845399206341751
3,27,0.8031587880150962
3,28,-0.42536036142163464
3,29,0.7246690917658717
3,30,-0.15231581870686234
4,1,-0.4648769545144706
4,2,-0.6191232955573613
4,3,-0.6029130042509888
4,4,1.0
4,5,-0.7293096280728353
4,6,0.9390052256634439
4,7,-0.7840655946797106
4,8,-0.6139377548049472
4,9,0.0808906117924656
4,10,0.5642152097744493
4,11,0.5491575470684021
4,12,0.6610220790959768
4,13,0.35761879862567525
4,14,-0.25330131433945335
4,15,0.5402157921045346
4,16,-0.8491855141449701
4,17,0.29884382345654326
4,18,0.5214378797865661
4,19,0.5624030835739375
4,20,0.6153620107898198
4,21,-0.14034974940534042
4,22,0.7150420854238273
4,23,0.7080551569151247
4,24,-0.023741406673547297
4,25,0.043460989556178144
4,26,-0.5570399754360063
4,27,-0.4801992386975787
4,28,0.7525725653565585
4,29,-0.34265672616757914
4,30,0.7181530352841716
5,1,0.5847914655723253
5,2,0.6055024840288497
5,3,0.8547551441539826
5,4,-0.7293096280728353
5,5,0.9999999999999999
5,6,-0.7294761349212436
5,7,0.7158596046013399
5,8,0.3522255733451381
5,9,-0.20920057680340393
5,10,-0.5439260699566486
5,11,-0.3382296498421229
5,12,-0.41877557709153657
5,13,-0.25766728843894965
5,14,0.5083755404163592
5,15,-0.3220379048198517
5,16,0.7426752833131373
5,17,-0.20821253488632452
5,18,-0.29446614117807757
5,19,-0.35175242199208984
5,20,-0.4151829766824074
5,21,0.4087778929175819
5,22,-0.399240807058781
5,23,-0.33914099345672594
5,24,0.45583260279557014
5,25,-0.05749595948843639
5,26,0.6580952954588245
5,27,0.7450687318454726
5,28,-0.5205356668553656
5,29,0.5205770006295894
5,30,-0.3771948076822138
6,1,-0.5830286659024899
6,2,-0.5878791679173236
6,3,-0.6444047559502386
6,4,0.9390052256634439
6,5,-0.7294761349212435
6,6,1.0
6,7,-0.7632066925969689
6,8,-0.6200842188271655
6,9,0.023800112264023083
6,10,0.5020697923772595
6,11,0.5159415835512111
6,12,0.6553376917039181
6,13,0.22045715486003373
6,14,-0.24688192159251005
6,15,0.510986973624209
6,16,-0.8305634914189306
6,17,0.1561493614137642
6,18,0.4541149277067429
